起始组,终止组,r,d,k
1,13,0.9706749039427665,0.024563060105931123,2.5839156013945384
1,12,0.9490482164227447,0.03777691396396493,2.466815132800181
2,13,0.9690962634668779,0.028044894274947052,2.578721348024324
1,11,0.9656239100451453,0.08373878144663666,1.9352299696943875
2,12,0.9462682966549639,0.043487855866107816,2.455997229145923
3,13,0.9670770291645943,0.030814873581968216,2.5746333506339427
1,10,0.91359241594966,0.08282317877205966,1.9494734560430635
2,11,0.9683117014398318,0.09756353826192377,1.8992505725285556
3,12,0.9426470244177194,0.04907349416839735,2.4455692893142977
4,13,0.9644872942039944,0.030343689320388556,2.5753221535745805
1,9,0.9770201758173012,0.03601726777815578,2.95309629125553
2,10,0.916834554054351,0.09865681211808236,1.8842499354505553
3,11,0.9714143656692045,0.1136923752872786,1.8581249155062864
4,12,0.9378347080867695,0.05212543798178004,2.4399439383321653
5,13,0.9610149209919885,0.028674664356864277,2.577721957557385
1,8,0.9846667857058499,0.017288331726133116,3.541883638701381
2,9,0.9793072750012457,0.04567134073994178,2.8730665516125544
3,10,0.9216576791096732,0.11793707178243915,1.8071466216928427
4,11,0.9736595542478246,0.13096009975062345,1.814879467996675
5,12,0.9312685572837537,0.05519097586568722,2.434417628541448
6,13,0.9576886556646239,0.010766358228684991,2.602737387089667
