起始组,终止组,r,d,k
1,13,0.8884091940633979,0.13903216209270103,1.1893158047646717
1,12,0.9622593936013588,0.10352616917080137,1.5039680215768392
2,13,0.8876110211802724,0.15874008653203642,1.159915222206806
1,11,0.9603959840340788,0.08747313267529178,1.6896340201793996
2,12,0.965861415715729,0.11917678420118372,1.4743219757179176
3,13,0.8867158864422369,0.1823768814413882,1.1250315118262026
1,10,0.9020604744692851,0.08623236574483839,1.7089358934990342
2,11,0.9648562880168573,0.10191440786721584,1.652050113087684
3,12,0.970648266636698,0.13791084837833517,1.4393469767171638
4,13,0.883015488662174,0.20780776699029135,1.0878552515445716
1,9,0.949290888659291,0.045695389588295277,2.5781388227288202
2,10,0.9084701484655509,0.10271774679404419,1.6410276271624067
3,11,0.9710076092857854,0.11942483439232121,1.607401649317291
4,12,0.9740720638659977,0.15687981779957944,1.4043833216538193
5,13,0.8772607730863835,0.23851953226504957,1.0436964053702906
1,8,0.9526175645384265,0.02397782063645132,3.2608807457409186
2,9,0.9520655621485256,0.057943587531010726,2.4766044655376978
3,10,0.9203435922987946,0.12356761884684303,1.5576473068409404
4,11,0.9751873905267284,0.13674563591022448,1.5640232751454695
5,12,0.9780677458145695,0.17923767051416567,1.3640783490731025
6,13,0.8645540751266596,0.26824388631857243,1.0021755893368585
1,7,0.9848628386579702,0.013289133247089246,3.813842173350582
2,8,0.9470825261828015,0.033510781671159035,3.1251572327044026
3,9,0.9607058707593187,0.07510824742268044,2.339690721649484
4,10,0.9300388318413838,0.1456532258064517,1.4715860215053758
5,11,0.9801955783295005,0.15729774564015309,1.514132284134411
6,12,0.9784596882123059,0.19746604587781064,1.3324721780604132
7,13,0.8410831784657753,0.2950053309640159,0.9657115356138017
