起始组,终止组,r,d,k
1,13,0.8743476483959616,0.16654138917445144,1.0286461359674606
1,12,0.8487613253505906,0.15277956540076448,1.1506026847476567
2,13,0.8788695471477377,0.1901487693983424,0.9934282857375238
1,11,0.8427952575314605,0.13096753404817255,1.4028759904093082
2,12,0.8522634545076013,0.1758760846842278,1.106852297396758
3,13,0.8807940570582837,0.21437039371246386,0.9576814710461928
1,10,0.8389031534344904,0.10175405068550053,1.8573327793934362
2,11,0.845189016509696,0.15258946689260575,1.3466041789266952
3,12,0.8521959454194316,0.19950902700111833,1.0627314848436435
4,13,0.8961674846521154,0.2520349514563108,0.902621359223301
1,9,0.9751898848661971,0.03679874106839054,3.2501190881252136
2,10,0.8370957462463177,0.12120677338841551,1.7772011360702302
3,11,0.8429540246749012,0.1744006353927268,1.2909895903744761
4,12,0.8676855252847622,0.23755781359495448,0.9925998598458303
5,13,0.9073487896204789,0.28940485058466875,0.8488891294932872
1,8,0.9494655941592527,0.024804243008678922,3.6271938283510115
2,9,0.9763039572955583,0.04666228022867011,3.1683529284866783
3,10,0.8287614506940472,0.1402610941288078,1.701001370296195
4,11,0.858211512173449,0.211708229426434,1.1975561097256855
5,12,0.8775327868765889,0.2754543546694647,0.9242829660720534
6,13,0.907624539830384,0.3214586913417053,0.80411434236616
1,7,0.9755662756262148,0.01351940491591197,4.210996119016818
2,8,0.9420299403897036,0.03466576819407005,3.4867924528301883
3,9,0.9730953168354565,0.05195017182130596,3.1261741122565856
4,10,0.8378726185874257,0.17698387096774193,1.5579032258064514
5,11,0.8659603418403393,0.24858826031475972,1.1080284985112714
6,12,0.8732588979703949,0.3076827163297753,0.8684022257551667
7,13,0.904214839943251,0.35884273656152826,0.7531763660595294
1,6,0.9720115677409715,0.007728682170542608,4.604651162790699
2,7,0.9714457466798371,0.019699340245051794,4.101413760603205
3,8,0.9244646283543407,0.037536986301369896,3.4476712328767114
4,9,0.9856990283981117,0.07727868852459022,2.9306557377049183
5,10,0.8351742149952175,0.21304466858789614,1.4235590778097984
6,11,0.8567572428266941,0.278641638225256,1.0389931740614333
7,12,0.8620398091197037,0.34596732128829544,0.804218381775334
8,13,0.8919565026033565,0.4056602739726027,0.6906575342465755
