起始组,终止组,r,d,k
1,13,0.9588327371450399,0.13958750363160943,1.5624019465427081
1,12,0.941271500002509,0.12995913778606372,1.6477280114761272
2,13,0.9617585211562107,0.15937414819528223,1.532883928101542
1,11,0.9229015892434917,0.11353184523447296,1.8377225758553117
2,12,0.9445386792689574,0.1496057686955336,1.6105125461551315
3,13,0.9669293250296237,0.18489137688144153,1.4952250315118258
1,10,0.8980633394677372,0.09011125160311398,2.202062824009683
2,11,0.9258695701693942,0.13227525329514106,1.7889422224743157
3,12,0.9509566974389857,0.17539223518133884,1.5623712762712603
4,13,0.9655237936185612,0.19819223300970884,1.4757811120917916
1,9,0.9731116820362158,0.032376998979244564,3.4400136100714533
2,10,0.8981270084877406,0.10733817454169892,2.131099922540666
3,11,0.9330578778295487,0.1575618156009192,1.7244659997296206
4,12,0.9480497485306479,0.18799894884372814,1.5391345480028031
5,13,0.9650493733397276,0.2198334343871804,1.444664356864444
1,8,0.9126746041382273,0.03427965284474449,3.3801992928318856
2,9,0.9723420487243387,0.041055333836695074,3.368072484090173
3,10,0.9032731002621874,0.13187330030568142,2.0329819753346685
4,11,0.9275476954404087,0.1678852867830425,1.6986118038237734
5,12,0.9459301814949597,0.20953777544596003,1.5003060510668065
6,13,0.9697098393224421,0.2582944481163254,1.3909396342806783
1,7,0.8916466178470592,0.02790038809831824,3.7102199223803365
2,8,0.8998130958334134,0.04790835579514821,3.186163522012579
3,9,0.9760419977618043,0.05704982817869414,3.2404925544100798
4,10,0.8920822593038576,0.13794354838709688,2.0093279569892464
5,11,0.9218768802996496,0.18750744364100386,1.6509783071033601
6,12,0.9509581221390961,0.24982898024074512,1.430445151033386
7,13,0.9730199148254788,0.3001948023100842,1.333847919443211
1,6,0.778743571882142,0.03333953488372089,3.340465116279071
2,7,0.8688250445531838,0.040654099905749294,3.4840716305372292
3,8,0.9086541607888994,0.07765753424657537,2.780821917808218
4,9,0.9833432182177018,0.03763934426229515,3.390327868852458
5,10,0.8768779634094428,0.15379106628242067,1.9502881844380402
6,11,0.9251341701789123,0.22819795221843003,1.557508532423208
7,12,0.9538906286338971,0.294879968578162,1.3549175176747836
8,13,0.9693819981264138,0.33508219178082166,1.2872602739726031
