起始组,终止组,r,d,k
1,13,0.34176063317470406,0.12312082504581409,0.9319545322486927
1,12,0.0009483765236746322,0.23150374612828442,-0.028529137598018645
2,13,0.3192753105741707,0.1405733042447903,0.9059186573340924
1,11,0.09892452379723815,0.1947551574309604,0.39649720677190464
2,12,0.010835531690451483,0.26650142872163435,-0.09482320342893194
3,13,0.29555089006839785,0.1566162230295841,0.8822421591161856
1,10,0.8217883313267703,0.10414499376817607,1.806065641877857
2,11,0.06570789422667722,0.22690803383413335,0.31281825852057216
3,12,0.033808081839898696,0.30501230228471,-0.16671992331043306
4,13,0.26365253350561235,0.18297669902912633,0.8437069726390111
1,9,0.9751898848661971,0.03679874106839054,3.2501190881252136
2,10,0.8186918165897457,0.12405480247869874,1.7240511231603408
3,11,0.034944181091816184,0.26214691766932535,0.22296539137488167
4,12,0.09386099651586,0.36264015416958656,-0.2729397337070777
5,13,0.23246469659359525,0.2039509744478129,0.8135491554785619
1,8,0.9494655941592527,0.024804243008678922,3.6271938283510115
2,9,0.9763039572955583,0.04666228022867011,3.1683529284866783
3,10,0.8086245037896269,0.14370127542953515,1.6454832929271632
4,11,0.005513160267987538,0.3176159600997507,0.08404821280132993
5,12,0.18434482984932798,0.4261862539349423,-0.38749562784190283
6,13,0.20733270733765596,0.2110009914077991,0.803701255783212
1,7,0.9755662756262148,0.01351940491591197,4.210996119016818
2,8,0.9420299403897036,0.03466576819407005,3.4867924528301883
3,9,0.9730953168354565,0.05195017182130596,3.1261741122565856
4,10,0.815464291160011,0.18125000000000016,1.4991666666666656
5,11,0.0034647171460836512,0.37904296044236496,-0.06506805614632076
6,12,0.2752766334735699,0.48994821712468767,-0.4980524642289347
7,13,0.18396818547090377,0.20696023989338064,0.8092070191026215
1,6,0.9720115677409715,0.007728682170542608,4.604651162790699
2,7,0.9714457466798371,0.019699340245051794,4.101413760603205
3,8,0.9244646283543407,0.037536986301369896,3.4476712328767114
4,9,0.9856990283981117,0.07727868852459022,2.9306557377049183
5,10,0.8094544941572049,0.21844668587896246,1.360590778097983
6,11,0.032855281698473626,0.44012343572241186,-0.20537542662116043
7,12,0.37964136136148574,0.5709908876669285,-0.6339198743126474
8,13,0.16506270098618991,0.17454520547945201,0.8524931506849315
1,5,0.9645244111891655,0.0010749999999999649,5.235000000000001
2,6,0.9646128144584973,0.011983173076923037,4.504326923076924
3,7,0.9644379470112264,0.015121951219512209,4.178048780487805
4,8,0.9304581914075377,0.0784,2.9099999999999997
5,9,0.9880173739583432,0.09462886597938142,2.8038659793814436
6,10,0.7815304903804237,0.24721501014198785,1.2618154158215011
7,11,0.09946904695482495,0.5197986906710312,-0.37970540098199695
8,12,0.5020617541054602,0.6906158536585364,-0.829085365853658
9,13,0.14065062248512794,0.09740000000000026,0.9539999999999997
