起始组,终止组,r,d,k
1,13,0.9690838116466152,0.11679205403834975,1.5145409645554913
1,12,0.9578987522107341,0.10700590730448006,1.60126527531155
2,13,0.9714625238792941,0.13334742469113342,1.4898434098661832
1,11,0.9384628297137756,0.09519723598213312,1.737841850954809
2,12,0.9606734029064293,0.12318257330702659,1.5706227618240634
3,13,0.9746796221812292,0.15326501816564103,1.4604485801141838
1,10,0.964875532679522,0.06475345459800216,2.211437654666643
2,11,0.9412277460162107,0.11091371303379866,1.696939187895718
3,12,0.9645815711322817,0.14288145071097613,1.533846533718718
4,13,0.9772853580849374,0.17429902912621387,1.429699911738746
1,9,0.9322884964276663,0.044521605988431384,2.6452534875808107
2,10,0.9684278213790396,0.07713262759273601,2.160444100180739
3,11,0.945529443468918,0.13040942273894818,1.6472286061916996
4,12,0.9675269534562615,0.16372319551506664,1.4954309740714784
5,13,0.9798529680050608,0.19808436552620168,1.3955002165439585
1,8,0.9865006022229679,0.011636451301832246,3.6790742526518794
2,9,0.9302602505711738,0.05645518282817394,2.546327257038075
3,10,0.9741790240963155,0.0929403394118267,2.0972277853905346
4,11,0.9481131506503236,0.15111970074812986,1.595361596009974
5,12,0.9703231484508719,0.18753725078698835,1.4525008744316195
6,13,0.9804282606262875,0.219932584269663,1.3649812734082396
