起始组,终止组,r,d,k
1,13,0.9632206563233681,0.13775380480936839,1.3318855316676352
1,12,0.9570775082332529,0.12546556758746102,1.4407832349678038
2,13,0.968719683771114,0.157280521042148,1.3027552782788003
1,11,0.9539263657925545,0.10950581770383266,1.625370300500225
2,12,0.9640570125146544,0.14443288100789803,1.4048545610855814
3,13,0.9724277059150189,0.17588947875732208,1.2752917624379028
1,10,0.9216615143325718,0.09681649536677434,1.8227705424396248
2,11,0.96306952938855,0.12758455342772668,1.578319779354939
3,12,0.9685966231282782,0.16227176865313953,1.3715507850513442
4,13,0.9780277643009143,0.19919805825242726,1.2412180052956752
1,9,0.9332391009152168,0.06209620619258244,2.567250765566521
2,10,0.9337956706982453,0.11532528616920562,1.7465272398657374
3,11,0.9688041590796664,0.14418260781397868,1.535997701770988
4,12,0.9757037308901115,0.18495515066573243,1.3297407147862645
5,13,0.9821691436848324,0.22231329579904718,1.2079818103074924
