起始组,终止组,r,d,k
1,13,0.8568686647564299,0.287241279946811,1.852749128413713
1,12,0.7854299727176292,0.2796091830512208,1.920384364313326
2,13,0.8578325095188852,0.32795796992589105,1.7920073486845571
1,11,0.733920333105089,0.24972392074291344,2.266030938500298
2,12,0.7826245267666481,0.32187922663483465,1.8403146898560774
3,13,0.8626710027128467,0.3809287832727811,1.713831838066286
1,10,0.7545246572063049,0.18587521901699744,3.2592872238579518
2,11,0.7252141830086741,0.2909518012492821,2.158733985153253
3,12,0.7837230431367397,0.37780635884326574,1.7359032084707111
4,13,0.861523549256734,0.4323339805825246,1.638684907325684
1,9,0.8929576347529474,0.05536942837699882,6.057621640013612
2,10,0.741039554592135,0.22140971684310173,3.112909888974955
3,11,0.7185461216783018,0.34702139380830055,2.0157665269703937
4,12,0.7759345696090388,0.43308584442887194,1.6340119131044144
5,13,0.8682289295830938,0.5063578172368991,1.5322498917280207
1,8,0.9432512634842924,-0.02971456123432975,8.732433301189326
2,9,0.8795338862815534,0.07021065688706729,5.934591737676625
3,10,0.7273799171631665,0.27277010646147354,2.9075155475914416
4,11,0.6994733570685916,0.4024438902743144,1.8769659185369902
5,12,0.7768808014399123,0.5147780692549843,1.4867436166491779
6,13,0.8881923626643629,0.6026824190350298,1.3976977307777045
1,7,0.9046950689279158,-0.014561448900388102,7.948512289780076
2,8,0.9355777733381079,-0.04152830188679246,8.900628930817609
3,9,0.8619284416503556,0.09984364261168394,5.698224513172966
4,10,0.6984866990142933,0.32139516129032264,2.718037634408601
5,11,0.6837355800048058,0.48813866439812853,1.6689387494683112
6,12,0.7998576824886987,0.6242904837610721,1.2968600953895073
7,13,0.9456021762242852,0.7307425588627273,1.2232082037612917
1,6,0.9395034436644764,0.02153178294573642,5.494883720930233
2,7,0.8875674472053209,-0.021217719132893387,8.066540999057489
3,8,0.9189996832026702,-0.047172602739725955,8.97753424657534
4,9,0.832328554281469,0.11144262295081964,5.608688524590164
5,10,0.6653862261140935,0.4050806916426511,2.4062680115273785
6,11,0.6870101893866079,0.6077053469852105,1.3942832764505122
7,12,0.92871170574403,0.7765567949725061,1.0415868028279651
8,13,0.9380692351940991,0.7805178082191783,1.1567397260273975
1,5,0.8673584164698784,0.018574999999999994,5.7749999999999995
2,6,0.9262262422104472,0.033384615384615346,5.2153846153846155
3,7,0.8522213825205714,-0.017097560975609716,7.997560975609754
4,8,0.9343768423426851,-0.13210000000000016,10.095
5,9,0.7803668512987103,0.16211340206185587,5.238402061855669
6,10,0.6457513581468922,0.5318985801217039,1.9708417849898583
7,11,0.8510816787383599,0.7825871522094925,1.0116407528641571
8,12,0.9596108744255784,0.855268292682927,0.9131707317073168
9,13,0.9107565106353485,0.7712,1.1690000000000003
